"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2286","Profile layout shows user info, achievements, friends, and places","chromium","2026-06-01","passed","2026-06-01","Profile Page","profile.spec.ts","",""
"","2878","TC-03.2 Publish news with 3 tags and verify","chromium","2026-06-01","passed","2026-06-01","TC-03 — Publish and Tag Limits","TC-03.spec.ts","",""
"","2552","TC-01.1 Verify all form fields are present in correct order","chromium","2026-06-01","failed","2026-06-01","TC-01 — Create News Form Layout and Behavior","TC-01.spec.ts","",""
"","3261","TC-03.1 Publish news with 1 tag and verify","chromium","2026-06-01","passed","2026-06-01","TC-03 — Publish and Tag Limits","TC-03.spec.ts","",""
"","1889","TC-01.2 Author and Date are pre-filled and read-only","chromium","2026-06-01","passed","2026-06-01","TC-01 — Create News Form Layout and Behavior","TC-01.spec.ts","",""
"","3474","The ""Edit news"" button is displayed for the author","chromium","2026-06-01","passed","2026-06-01","TC-09 — Verify Edit News button visible to the author","TC-09.spec.ts","",""
"","5492","User cannot login with invalid credentials","chromium","2026-06-01","passed","2026-06-01","Login Tests","login.spec.ts","",""
"","2276","TC-01.3 Tags can be selected and deselected","chromium","2026-06-01","passed","2026-06-01","TC-01 — Create News Form Layout and Behavior","TC-01.spec.ts","",""
"","2537","TC-07.1 Cancel → ""Yes, cancel"" closes form and redirects to news page","chromium","2026-06-01","passed","2026-06-01","TC-07 — Cancel Confirmation Modal","TC-07.spec.ts","",""
"","2640","Verify Title validation, character counter, and Publish button behavior","chromium","2026-06-01","failed","2026-06-01","TC-02 — Title field validation and Publish button state","TC-02.spec.ts","",""
"","4912","GreenCity homepage loads with logo and correct title","chromium","2026-06-01","passed","2026-06-01","Home Page","home.spec.ts","",""
"","4863","authenticate","setup","2026-06-01","passed","2026-06-01","","auth.setup.ts","",""
"","2044","Right column widgets display correctly","chromium","2026-06-01","passed","2026-06-01","Profile Page","profile.spec.ts","",""
"","2380","Dashboard tabs navigate to My News with Add button","chromium","2026-06-01","passed","2026-06-01","Profile Page","profile.spec.ts","",""
"","1917","TC-01.4 Character counters and placeholders","chromium","2026-06-01","passed","2026-06-01","TC-01 — Create News Form Layout and Behavior","TC-01.spec.ts","",""
"","2623","TC-07.2 ""Continue editing"" dismisses modal and keeps form open with existing data","chromium","2026-06-01","passed","2026-06-01","TC-07 — Cancel Confirmation Modal","TC-07.spec.ts","",""
"","2025","TC-03.3 Fourth tag cannot be selected","chromium","2026-06-01","passed","2026-06-01","TC-03 — Publish and Tag Limits","TC-03.spec.ts","",""
